27.01.2016 12:32:14	Ansauglufttemperatur	Oeltemperatur	Drosselklappe	Pedalwert	Luftmassenmesser - Luftmasse	Motortemperatur
27.01.2016 12:33:38	11,250000	21,251999	0,102542	0,000000	16,500000	48,000000
27.01.2016 12:33:39	12,000000	21,251999	0,102542	0,000000	15,500000	48,750000
27.01.2016 12:33:41	12,000000	21,251999	0,000000	0,000000	13,000000	48,750000
27.01.2016 12:33:42	12,000000	21,251999	0,102542	0,000000	12,750000	48,750000
27.01.2016 12:33:43	12,000000	22,048004	0,102542	0,000000	13,500000	48,750000
27.01.2016 12:33:44	12,000000	22,048004	0,102542	0,000000	13,000000	48,750000
27.01.2016 12:33:46	0	0	0	0	0	0
27.01.2016 12:33:48	12,000000	22,844002	0,102542	0,000000	13,500000	49,500000
27.01.2016 12:33:49	12,000000	22,844002	0,102542	0,000000	13,250000	49,500000
27.01.2016 12:33:50	12,000000	22,844002	0,102542	0,000000	13,250000	49,500000
27.01.2016 12:33:52	12,000000	22,844002	0,102542	0,000000	13,500000	49,500000
27.01.2016 12:33:53	12,000000	22,844002	0,102542	0,000000	13,000000	49,500000
27.01.2016 12:33:55	12,000000	22,844002	0,102542	0,000000	13,000000	50,250000
27.01.2016 12:33:56	12,000000	22,844002	0,102542	0,000000	13,000000	50,250000
27.01.2016 12:33:57	12,000000	22,844002	0,000000	0,000000	13,000000	50,250000
27.01.2016 12:33:59	12,000000	23,639999	0,102542	0,000000	12,500000	50,250000
27.01.2016 12:34:00	12,000000	23,639999	0,102542	0,000000	12,500000	50,250000
27.01.2016 12:34:01	12,000000	23,639999	0,102542	0,000000	12,000000	50,250000
27.01.2016 12:34:03	12,000000	23,639999	0,102542	0,000000	11,250000	51,000000
27.01.2016 12:34:04	12,000000	23,639999	0,102542	0,000000	11,250000	51,000000
27.01.2016 12:34:05	12,000000	23,639999	0,102542	0,000000	11,250000	51,000000
27.01.2016 12:34:07	12,000000	23,639999	0,102542	0,000000	11,250000	51,000000
27.01.2016 12:34:08	12,000000	24,435997	0,102542	0,000000	11,000000	51,000000
27.01.2016 12:34:10	12,000000	24,435997	0,102542	0,000000	11,000000	51,000000
27.01.2016 12:34:11	12,000000	24,435997	0,102542	0,000000	11,000000	51,000000
27.01.2016 12:34:12	12,000000	24,435997	0,000000	0,000000	11,250000	51,750000
27.01.2016 12:34:14	12,000000	24,435997	0,102542	0,000000	11,000000	51,750000
27.01.2016 12:34:15	12,000000	24,435997	0,102542	0,000000	11,000000	51,750000
27.01.2016 12:34:16	12,000000	24,435997	0,102542	0,000000	11,000000	51,750000
27.01.2016 12:34:18	12,000000	25,232002	0,102542	0,000000	11,250000	51,750000
27.01.2016 12:34:19	12,000000	25,232002	0,102542	0,000000	11,250000	51,750000
27.01.2016 12:34:20	12,000000	25,232002	0,102542	0,000000	11,000000	51,750000
27.01.2016 12:34:22	12,000000	26,028000	0,102542	0,000000	11,000000	51,750000
27.01.2016 12:34:23	0	0	0	0	0	0
27.01.2016 12:34:25	12,000000	26,028000	0,102542	0,000000	11,000000	52,500000
27.01.2016 12:34:27	12,000000	26,028000	0,000000	0,000000	11,000000	52,500000
27.01.2016 12:34:28	12,000000	26,028000	0,102542	0,000000	11,000000	52,500000
27.01.2016 12:34:29	0	0	0	0	0	0
27.01.2016 12:34:31	13,500000	26,823997	0,000000	15,188974	46,000000	52,500000
27.01.2016 12:34:32	13,500000	26,823997	0,000000	17,302063	53,000000	52,500000
27.01.2016 12:34:34	12,750000	26,823997	0,102542	19,546991	40,000000	52,500000
27.01.2016 12:34:35	13,500000	26,823997	2,255915	24,038681	66,250000	52,500000
27.01.2016 12:34:36	13,500000	26,823997	0,102542	0,000000	14,250000	53,250000
27.01.2016 12:34:38	12,750000	26,823997	1,640666	23,641333	66,000000	53,250000
27.01.2016 12:34:39	13,500000	26,823997	1,948290	22,848465	63,000000	53,250000
27.01.2016 12:34:40	13,500000	27,620003	0,307625	19,151474	54,500000	53,250000
27.01.2016 12:34:41	12,750000	27,620003	0,102542	0,000000	14,250000	53,250000
27.01.2016 12:34:43	12,000000	27,620003	0,102542	6,339268	15,000000	54,000000
27.01.2016 12:34:44	12,000000	28,416000	0,102542	10,169930	20,250000	54,000000
27.01.2016 12:34:45	12,750000	28,416000	0,000000	17,038385	45,750000	54,000000
27.01.2016 12:34:46	12,750000	28,416000	0,820333	19,151474	52,500000	54,000000
27.01.2016 12:34:48	13,500000	28,416000	1,230499	19,678831	56,750000	54,750000
27.01.2016 12:34:49	12,750000	28,416000	0,000000	14,000590	37,500000	54,750000
27.01.2016 12:34:50	12,750000	28,416000	0,102542	6,602946	18,250000	54,750000
27.01.2016 12:34:52	12,000000	28,416000	0,102542	10,829125	24,000000	54,750000
27.01.2016 12:34:53	12,750000	29,211998	0,102542	12,414858	29,000000	55,500000
27.01.2016 12:34:54	12,750000	29,211998	0,102542	0,000000	13,500000	55,500000
27.01.2016 12:34:55	12,000000	29,211998	0,102542	8,188679	19,750000	55,500000
27.01.2016 12:34:57	12,000000	29,211998	0,102542	11,094635	24,500000	55,500000
27.01.2016 12:34:58	12,000000	29,211998	0,102542	12,414858	29,000000	56,250000
27.01.2016 12:34:59	12,000000	29,211998	0,102542	0,000000	13,500000	56,250000
27.01.2016 12:35:01	12,000000	29,211998	0,102542	0,000000	13,500000	56,250000
27.01.2016 12:35:02	0	0	0	0	0	0
27.01.2016 12:35:04	12,000000	30,008003	0,102542	0,000000	13,500000	57,000000
27.01.2016 12:35:05	12,000000	30,008003	0,102542	0,000000	13,500000	57,000000
27.01.2016 12:35:07	12,000000	30,008003	0,102542	0,000000	13,750000	57,000000
27.01.2016 12:35:08	12,750000	30,008003	0,102542	0,000000	12,000000	57,000000
27.01.2016 12:35:09	12,750000	30,804001	0,102542	0,000000	13,000000	57,000000
27.01.2016 12:35:11	0	0	0	0	0	0
27.01.2016 12:35:13	12,750000	30,804001	0,102542	0,000000	12,750000	57,750000
27.01.2016 12:35:14	12,750000	30,804001	0,102542	0,000000	12,750000	57,750000
27.01.2016 12:35:15	0	0	0	0	0	0
27.01.2016 12:35:17	13,500000	30,804001	0,102542	0,000000	14,750000	57,750000
27.01.2016 12:35:19	0	0	0	0	0	0
27.01.2016 12:35:21	13,500000	31,599998	0,000000	20,076180	54,250000	57,750000
27.01.2016 12:35:22	13,500000	31,599998	0,102542	0,000000	13,000000	58,500000
27.01.2016 12:35:23	13,500000	31,599998	1,025416	22,452948	60,250000	58,500000
27.01.2016 12:35:24	13,500000	31,599998	1,435582	21,925591	59,500000	58,500000
27.01.2016 12:35:26	13,500000	31,599998	0,000000	17,829420	48,750000	58,500000
27.01.2016 12:35:27	13,500000	32,396004	0,000000	14,396108	36,250000	58,500000
27.01.2016 12:35:28	13,500000	32,396004	0,102542	15,584492	43,000000	58,500000
27.01.2016 12:35:29	13,500000	32,396004	0,102542	16,906546	46,750000	59,250000
27.01.2016 12:35:31	13,500000	32,396004	0,102542	0,000000	14,500000	59,250000
27.01.2016 12:35:32	12,750000	32,396004	0,102542	3,037795	10,500000	59,250000
27.01.2016 12:35:33	13,500000	32,396004	0,102542	19,151474	49,250000	60,000000
27.01.2016 12:35:34	13,500000	32,396004	0,000000	16,906546	45,750000	60,000000
27.01.2016 12:35:36	0	0	0	0	0	0
27.01.2016 12:35:38	13,500000	33,192001	0,000000	12,944046	30,000000	60,000000
27.01.2016 12:35:39	13,500000	33,192001	0,102542	11,753831	30,500000	60,000000
27.01.2016 12:35:40	13,500000	33,192001	0,102542	13,075885	30,500000	60,750000
27.01.2016 12:35:42	13,500000	33,192001	0,102542	0,000000	12,750000	60,750000
27.01.2016 12:35:43	13,500000	33,192001	0,102542	0,000000	13,000000	60,750000
27.01.2016 12:35:44	13,500000	33,987999	0,102542	0,000000	13,000000	60,750000
27.01.2016 12:35:46	13,500000	33,987999	0,102542	0,000000	13,000000	61,500000
27.01.2016 12:35:47	13,500000	33,987999	0,102542	0,000000	13,000000	61,500000
27.01.2016 12:35:48	0	0	0	0	0	0
27.01.2016 12:35:50	13,500000	33,987999	0,102542	0,000000	13,000000	62,250000
27.01.2016 12:35:52	13,500000	33,987999	0,102542	0,000000	12,250000	62,250000
27.01.2016 12:35:53	13,500000	33,987999	0,102542	0,000000	12,500000	62,250000
27.01.2016 12:35:54	13,500000	34,783997	0,102542	0,000000	12,750000	62,250000
27.01.2016 12:35:56	13,500000	34,783997	0,102542	0,000000	12,500000	62,250000
27.01.2016 12:35:57	0	0	0	0	0	0
27.01.2016 12:35:59	13,500000	34,783997	0,102542	0,000000	12,500000	62,250000
27.01.2016 12:36:00	13,500000	34,783997	0,102542	0,000000	12,250000	62,250000
27.01.2016 12:36:02	13,500000	34,783997	0,102542	0,000000	11,750000	63,000000
27.01.2016 12:36:03	13,500000	34,783997	0,102542	0,000000	11,250000	63,000000
27.01.2016 12:36:04	13,500000	35,580002	0,102542	0,000000	11,000000	63,000000
27.01.2016 12:36:06	13,500000	35,580002	0,102542	0,000000	10,750000	63,000000
27.01.2016 12:36:07	13,500000	35,580002	0,102542	0,000000	10,750000	63,000000
27.01.2016 12:36:08	13,500000	35,580002	0,102542	0,000000	10,500000	63,000000
27.01.2016 12:36:10	13,500000	35,580002	0,102542	0,000000	10,500000	63,000000
27.01.2016 12:36:11	13,500000	35,580002	0,102542	0,000000	10,500000	63,000000
27.01.2016 12:36:13	13,500000	36,375999	0,102542	0,000000	10,500000	63,000000
27.01.2016 12:36:14	13,500000	36,375999	0,102542	0,000000	10,500000	63,750000
