28.01.2016 11:46:39	Ansauglufttemperatur	Oeltemperatur	Drosselklappe	Pedalwert	Luftmassenmesser - Luftmasse	Motortemperatur
28.01.2016 11:46:38	30,000000	30,804001	0,000000	0,000000	13,000000	43,500000
28.01.2016 11:46:40	30,000000	30,804001	0,000000	0,000000	13,000000	44,250000
28.01.2016 11:46:41	30,000000	30,804001	0,102542	0,000000	12,750000	44,250000
28.01.2016 11:46:42	30,000000	30,804001	0,000000	0,000000	12,250000	44,250000
28.01.2016 11:46:43	30,000000	30,804001	0,000000	8,847875	24,250000	44,250000
28.01.2016 11:46:45	30,000000	30,804001	0,000000	8,584197	23,000000	45,000000
28.01.2016 11:46:46	30,750000	30,804001	0,000000	9,377063	25,000000	45,000000
28.01.2016 11:46:47	30,000000	30,804001	0,000000	0,000000	17,750000	45,000000
28.01.2016 11:46:48	30,000000	30,804001	0,102542	0,000000	11,500000	45,000000
28.01.2016 11:46:50	30,000000	31,599998	0,000000	0,000000	13,000000	45,750000
28.01.2016 11:46:51	30,000000	31,599998	0,000000	0,000000	13,750000	45,750000
28.01.2016 11:46:52	30,000000	31,599998	0,000000	0,000000	14,000000	45,750000
28.01.2016 11:46:54	30,000000	31,599998	0,000000	12,810375	33,500000	46,500000
28.01.2016 11:46:55	30,750000	31,599998	0,000000	6,075590	18,000000	46,500000
28.01.2016 11:46:56	30,000000	31,599998	0,102542	5,546402	16,500000	46,500000
28.01.2016 11:46:57	30,000000	31,599998	0,000000	11,885670	25,250000	46,500000
28.01.2016 11:46:59	30,000000	31,599998	0,000000	13,471402	27,500000	46,500000
28.01.2016 11:47:00	30,000000	31,599998	0,000000	0,000000	11,750000	47,250000
28.01.2016 11:47:01	30,000000	31,599998	0,000000	0,000000	13,750000	47,250000
28.01.2016 11:47:03	30,000000	31,599998	0,000000	0,000000	13,250000	47,250000
28.01.2016 11:47:04	29,250000	31,599998	0,000000	0,000000	13,000000	47,250000
28.01.2016 11:47:05	29,250000	32,396004	0,000000	2,640446	13,750000	48,000000
28.01.2016 11:47:07	29,250000	32,396004	0,102542	1,056545	13,500000	48,000000
28.01.2016 11:47:08	29,250000	32,396004	0,000000	0,000000	13,750000	48,000000
28.01.2016 11:47:09	29,250000	32,396004	0,512708	0,000000	16,750000	48,000000
28.01.2016 11:47:11	29,250000	32,396004	0,000000	0,000000	13,750000	48,000000
28.01.2016 11:47:12	29,250000	32,396004	0,102542	4,226179	16,250000	48,750000
28.01.2016 11:47:13	30,000000	32,396004	0,102542	0,000000	9,750000	48,750000
28.01.2016 11:47:14	29,250000	32,396004	0,102542	5,414563	16,750000	48,750000
28.01.2016 11:47:16	30,000000	32,396004	0,000000	4,358018	16,500000	48,750000
28.01.2016 11:47:17	29,250000	32,396004	0,102542	5,150884	16,500000	48,750000
28.01.2016 11:47:18	29,250000	32,396004	0,000000	11,621991	28,000000	49,500000
28.01.2016 11:47:20	0	0	0	0	0	0
28.01.2016 11:47:22	29,250000	33,192001	0,000000	4,094339	28,000000	49,500000
28.01.2016 11:47:23	29,250000	33,192001	0,000000	0,000000	14,250000	50,250000
28.01.2016 11:47:24	29,250000	33,192001	0,102542	0,000000	12,250000	50,250000
28.01.2016 11:47:26	29,250000	33,192001	0,102542	0,000000	13,500000	50,250000
28.01.2016 11:47:27	29,250000	33,192001	0,000000	0,000000	13,500000	50,250000
28.01.2016 11:47:28	29,250000	33,192001	0,102542	0,000000	13,000000	51,000000
28.01.2016 11:47:30	29,250000	33,192001	0,102542	0,000000	13,000000	51,000000
28.01.2016 11:47:31	29,250000	33,192001	0,000000	0,000000	12,750000	51,000000
28.01.2016 11:47:32	29,250000	33,192001	0,000000	0,000000	12,000000	51,000000
28.01.2016 11:47:34	29,250000	33,987999	0,102542	0,000000	11,750000	51,000000
28.01.2016 11:47:35	29,250000	33,987999	0,000000	0,000000	11,750000	51,750000
28.01.2016 11:47:36	29,250000	33,987999	0,000000	0,000000	11,500000	51,750000
28.01.2016 11:47:38	29,250000	33,987999	0,102542	0,000000	11,500000	51,750000
28.01.2016 11:47:39	29,250000	33,987999	0,102542	0,000000	11,500000	51,750000
28.01.2016 11:47:40	29,250000	33,987999	0,102542	0,000000	11,500000	51,750000
28.01.2016 11:47:42	28,500000	33,987999	0,102542	0,000000	11,250000	52,500000
28.01.2016 11:47:43	28,500000	33,987999	0,000000	0,000000	11,250000	52,500000
